zip,zip_type,primary_city,county,timezone,area_codes,latitude,longitude,world_region,country,decommissioned,estimated_population,City,CriteriaID,State,StateAbrv,DMARegion,DMARegionCode
01081,STANDARD,Wales,HampdenCounty,America/New_York,413,42.06,-72.21,NA,US,0,1491,Wales,1018448,Massachusetts,MA,"Springfield-Holyoke, MA",543
01082,STANDARD,Ware,HampshireCounty,America/New_York,413,42.25,-72.24,NA,US,0,8509,Ware,1018451,Massachusetts,MA,"Springfield-Holyoke, MA",543
01082,STANDARD,Ware,HampshireCounty,America/New_York,413,42.25,-72.24,NA,US,0,8509,Ware,9053077,Massachusetts,MA,"Springfield-Holyoke, MA",543
01083,POBOX,Warren,WorcesterCounty,America/New_York,413,42.21,-72.19,NA,US,0,2519,Warren,1018453,Massachusetts,MA,"Boston, MA-Manchester, NH",506
01085,STANDARD,Westfield,HampdenCounty,America/New_York,413,42.13,-72.75,NA,US,0,32344,Westfield,1018477,Massachusetts,MA,"Springfield-Holyoke, MA",543
01086,POBOX,Westfield,HampdenCounty,America/New_York,413,42.13,-72.75,NA,US,0,664,Westfield,1018477,Massachusetts,MA,"Springfield-Holyoke, MA",543
01089,STANDARD,WestSpringfield,HampdenCounty,America/New_York,413,42.12,-72.65,NA,US,0,23043,WestSpringfield,1018469,Massachusetts,MA,"Springfield-Holyoke, MA",543
01090,POBOX,WestSpringfield,HampdenCounty,America/New_York,413,42.12,-72.65,NA,US,0,404,WestSpringfield,1018469,Massachusetts,MA,"Springfield-Holyoke, MA",543
01092,POBOX,WestWarren,WorcesterCounty,America/New_York,413,42.2,-72.2,NA,US,0,1063,WestWarren,1018474,Massachusetts,MA,"Boston, MA-Manchester, NH",506
01093,POBOX,Whately,FranklinCounty,America/New_York,413,42.45,-72.61,NA,US,0,476,Whately,1018484,Massachusetts,MA,"Springfield-Holyoke, MA",543
01095,STANDARD,Wilbraham,HampdenCounty,America/New_York,413,42.13,-72.43,NA,US,0,13107,Wilbraham,1018487,Massachusetts,MA,"Springfield-Holyoke, MA",543
01095,STANDARD,Wilbraham,HampdenCounty,America/New_York,413,42.13,-72.43,NA,US,0,13107,Wilbraham,9053162,Massachusetts,MA,"Springfield-Holyoke, MA",543
01096,STANDARD,Williamsburg,HampshireCounty,America/New_York,413,42.4,-72.71,NA,US,0,2266,Williamsburg,1018488,Massachusetts,MA,"Springfield-Holyoke, MA",543
01098,STANDARD,Worthington,HampshireCounty,America/New_York,413,42.41,-72.93,NA,US,0,1076,Worthington,1018498,Massachusetts,MA,"Springfield-Holyoke, MA",543
01101,POBOX,Springfield,HampdenCounty,America/New_York,413,42.11,-72.53,NA,US,0,1531,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01102,POBOX,Springfield,HampdenCounty,America/New_York,413,42.11,-72.53,NA,US,0,0,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
